Entity,Year,Share of Top 1% in Pre-tax national income
Italy,1974,0.0746
Italy,1975,0.0724
Italy,1976,0.071
Italy,1977,0.068
Italy,1978,0.0671
Italy,1979,0.0683
Italy,1980,0.069
Italy,1981,0.0647
Italy,1982,0.064
Italy,1983,0.0634
Italy,1984,0.0654
Italy,1985,0.0681
Italy,1986,0.0713
Italy,1987,0.0745
Italy,1988,0.076
Italy,1989,0.0779
Italy,1990,0.0778
Italy,1991,0.0784
Italy,1992,0.0781
Italy,1993,0.0792
Italy,1994,0.0799
Italy,1995,0.08134
Italy,1998,0.0874
Italy,1999,0.0882
Italy,2000,0.0909
Italy,2001,0.0928
Italy,2002,0.0928
Italy,2003,0.0936
Italy,2004,0.0928
Italy,2005,0.0935
Italy,2006,0.09721
Italy,2007,0.09861
Italy,2008,0.09657
Italy,2009,0.09375
